#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#wt_mn_flux: weighted mean flux at the center of the line (erg/s/cm^2)
#onesig_err_wt_mn_flux: 1 sigma uncertainty in weighted mean flux at the center of the line (erg/s/cm^2)
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means either the code was unable to fit the line OR the fit was below 3 sigma flux error at that point
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	significance	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u
rcs0327-E	HeII1640	4434.7033	1640.417	EMISSION	-0.4823	0.1083	-1.70737324677e+17	5.73336505724e+15	8.1944e-18	1.8404e-18	1.7578e-18	8.7793e-19	7.3315	1.0	0.2762	4435.3923	0.3224	1.8832	1.7038	0.0002
rcs0327-E	OIII]1660	4489.8311	1660.809	EMISSION	-0.1561	0.1078	-1.7353773876e+17	5.97802820614e+15	2.6358e-18	1.8205e-18	1.6342e-19	1.8549e-18	1.3328	1.0	0.0883	4489.1335	0.9919	1.9067	1.703	0.0006
rcs0327-E	OIII1666	4504.2699	1666.15	EMISSION	-0.5181	0.1104	-2.05004455348e+17	6.24495388053e+15	8.7243e-18	1.8596e-18	-4.0593e-18	7.1217e-18	1.795	1.0	0.2921	4503.5701	0.307	1.9128	1.703	0.0002
rcs0327-E	SiIII1882	5089.7101	1882.707	EMISSION	-0.3272	0.0763	-2.66344254198e+17	6.34054396298e+15	4.9965e-18	1.1651e-18	3.0046e-19	4.7071e-19	9.9766	1.0	0.2722	5089.5859	0.2287	1.2966	1.7033	0.0001
rcs0327-E	SiIII1892	5114.9112	1892.029	EMISSION	-0.4327	0.0941	-2.27169047725e+17	5.99736374757e+15	6.571e-18	1.4297e-18	-2.2881e-19	5.9858e-19	11.36	1.0	0.2446	5114.8417	0.313	1.9081	1.7034	0.0002
rcs0327-E	CIII]1906	5154.5268	1906.683	EMISSION	-0.7714	0.0692	-2.97064570151e+17	6.18287076407e+15	1.1623e-17	1.0433e-18	5.3946e-19	9.2496e-19	11.983	1.0	0.8544	5153.726	0.0658	0.9737	1.703	0.0
rcs0327-E	CIII]1908	5160.0715	1908.734	EMISSION	-1.2046	0.083	-3.80201397236e+17	6.72923216923e+15	1.8106e-17	1.2481e-18	5.3946e-19	9.2496e-19	18.992	1.0	0.9377	5160.1356	0.0719	1.3855	1.7034	0.0
rcs0327-E	NII]2140	5785.276	2140.0	EMISSION	-0.0746	0.1245	-2.86643902724e+17	9.26308602244e+15	9.3808e-19	1.5653e-18	5.2957e-20	9.0212e-19	0.98116	1.0	0.0328	5786.1748	3.0955	2.4568	1.7038	0.0014
rcs0327-E	OIII2320	6276.3865	2321.664	EMISSION	-0.1717	0.103	-3.71131135864e+17	1.13721210696e+16	1.9324e-18	1.1591e-18	-7.5889e-19	1.2858e-18	2.0931	1.0	0.1167	6276.1444	0.7193	1.5868	1.7033	0.0003
rcs0327-E	CII2323	6283.2801	2324.214	EMISSION	-0.0833	0.0811	-3.75759530868e+17	1.05151877205e+16	9.3639e-19	9.1182e-19	-7.5889e-19	1.2858e-18	1.3185	1.0	0.1108	6282.6533	0.6217	0.8113	1.7031	0.0003
